LOT_ID,WAFER_ID,GFA_ID,GFA_Class,GFA_CentX,GFA_CentY,GFA_AREA,GFA_LEN,GFA_DIST,GFA_NUM,GFA_IsLin,GFA_RadDist
H9212940,26,0,0,,,,,,,,
H9212940,27,0,0,,,,,,,,
H9212940,27,1,2,52.67648014233176,-76.6650735437677,22.01444162237349,8.801379330205593,93.01798246391276,5712.0,,
H9212940,27,2,1,120.2387425,32.43637208333333,8.879713299599452,12.059551950582115,124.53703638640897,12.0,0.0,
H9212940,27,3,2,121.68553492307693,-2.368231307692308,77.37106135972898,14.866316367746782,121.708577877823,13.0,,
H9212940,27,4,1,121.82972316666667,-31.242826166666664,4.466329436951497,8.394653549540795,125.77199860758829,6.0,0.0,
H9215410,198,0,0,,,,,,,,
H9215410,198,1,2,125.11358998158016,-49.94557995292665,21.524354679352008,8.560083365184294,134.7144066346029,2443.0,,
H9215410,199,0,0,,,,,,,,
H9215410,199,1,2,-0.8366888750000001,-5.62550725,34.4541878284715,17.131811833909364,5.687387809297984,8.0,,
H9224870,670,0,0,,,,,,,,
H9224870,672,0,0,,,,,,,,
H9224870,672,1,2,32.337461000000005,1.8388797500000003,0.3845086820370007,1.620739306657613,32.38970303447503,12.0,,
L9205200,178,0,0,,,,,,,,
L9205200,178,1,2,61.91747782582583,89.53622267267272,3.306295886497005,3.60025935306334,108.8600442347975,333.0,,
L9205200,180,0,0,,,,,,,,
L9205200,182,0,0,,,,,,,,
L9205200,182,2,2,63.132693211538474,87.60228326153852,15.829387511156927,10.889821924532892,107.9810028883649,260.0,,
L9205200,184,0,0,,,,,,,,
L9205200,184,1,2,62.608377312883455,87.66401898466262,3.368328500097495,3.3494503892573055,107.72552684622,326.0,,
L9205200,184,2,2,81.1820539205253,-62.49410867380786,1.1572541386115036,1.4845862032718071,102.45018056445184,1447.0,,
L9193050,384,0,0,,,,,,,,
L9193050,385,0,0,,,,,,,,
L9193050,385,1,2,-17.582151884615385,-68.54332873076923,42.68897086613461,8.822036103654304,70.76241925194459,26.0,,
L9203860,712,0,0,,,,,,,,
L9203860,712,1,2,81.43666937857141,-62.32172727142859,1.368133722978502,2.328286589185285,102.54720283639665,140.0,,
