LOT_ID,WAFER_ID,WAFER_SCRIBE_ID,INSPECTION_DATE,REAL_WAFER_X,REAL_WAFER_Y,no_gfa,streak,focus_spot,burp
L9253690,301,5CZFE301MVD2,2019-09-28 01:18:08,-111429.754,-1240.581,0,1,0,0
L9253690,301,5CZFE301MVD2,2019-09-28 01:18:08,-105799.813,62036.615,0,1,0,0
L9253690,301,5CZFE301MVD2,2019-09-28 01:18:08,-104716.982,-69347.386,0,1,0,0
L9253690,301,5CZFE301MVD2,2019-09-28 01:18:08,-97648.896,-64906.22,0,1,0,0
L9253690,301,5CZFE301MVD2,2019-09-28 01:18:08,-92600.444,-64897.377,0,1,0,0
L9253690,301,5CZFE301MVD2,2019-09-28 01:18:08,-91729.369,-64443.776,0,1,0,0
L9253690,301,5CZFE301MVD2,2019-09-28 01:18:08,-90544.345,-64879.01,0,1,0,0
L9253690,301,5CZFE301MVD2,2019-09-28 01:18:08,-27163.057,-12881.831,0,1,0,0
L9253690,301,5CZFE301MVD2,2019-09-28 01:18:08,-17778.167,-115344.176,0,1,0,0
L9253690,301,5CZFE301MVD2,2019-09-28 01:18:08,-517.286,-6492.855,0,1,0,0
L9253690,301,5CZFE301MVD2,2019-09-28 01:18:08,-517.2819999999998,-4055.968,0,1,0,0
L9253690,301,5CZFE301MVD2,2019-09-28 01:18:08,-413.405,-2204.947,0,1,0,0
L9253690,301,5CZFE301MVD2,2019-09-28 01:18:08,-413.39,-3051.73,0,1,0,0
L9253690,301,5CZFE301MVD2,2019-09-28 01:18:08,15111.514,47040.664,0,1,0,0
L9253690,301,5CZFE301MVD2,2019-09-28 01:18:08,28515.604,-77598.37700000001,0,1,0,0
L9253690,301,5CZFE301MVD2,2019-09-28 01:18:08,28516.368,-77597.66900000001,0,1,0,0
L9253690,301,5CZFE301MVD2,2019-09-28 01:18:08,50773.7,-70413.567,0,1,0,0
L9253690,301,5CZFE301MVD2,2019-09-28 01:18:08,60464.616,-99702.733,0,1,0,0
