LOT_ID,WAFER_ID,WAFER_SCRIBE_ID,INSPECTION_DATE,X,Y,c_id,none,scratch,focus_spot
L9201270,366,M7BKR366WAF0,2019-09-04 17:54:04,-99.935398,85.99514199999999,0,0,0,0
L9201270,366,M7BKR366WAF0,2019-09-04 17:54:04,-89.861206,-61.357585,1,1,0,0
L9201270,366,M7BKR366WAF0,2019-09-04 17:54:04,-89.861108,-61.354065000000006,1,1,0,0
L9201270,366,M7BKR366WAF0,2019-09-04 17:54:04,-89.859245,-61.35479,1,1,0,0
L9201270,366,M7BKR366WAF0,2019-09-04 17:54:04,-89.85831800000001,-61.351392,1,1,0,0
L9201270,366,M7BKR366WAF0,2019-09-04 17:54:04,-89.856395,-61.35225,1,1,0,0
L9201270,366,M7BKR366WAF0,2019-09-04 17:54:04,-74.553748,-40.968374000000004,0,0,0,0
L9201270,366,M7BKR366WAF0,2019-09-04 17:54:04,-51.95706200000001,4.189451,0,0,0,0
L9201270,366,M7BKR366WAF0,2019-09-04 17:54:04,-51.713049000000005,111.13006200000001,0,0,0,0
L9201270,366,M7BKR366WAF0,2019-09-04 17:54:04,-43.183625,-101.599182,5,1,0,0
L9201270,366,M7BKR366WAF0,2019-09-04 17:54:04,-38.515938,78.44450900000001,0,0,0,0
L9201270,366,M7BKR366WAF0,2019-09-04 17:54:04,-36.133425,-54.467499000000004,0,0,0,0
L9201270,366,M7BKR366WAF0,2019-09-04 17:54:04,-7.742246999999999,-121.62,5,1,0,0
L9201270,366,M7BKR366WAF0,2019-09-04 17:54:04,-7.006833,72.620244,2,1,0,0
L9201270,366,M7BKR366WAF0,2019-09-04 17:54:04,-2.244461,65.997011,2,1,0,0
L9201270,366,M7BKR366WAF0,2019-09-04 17:54:04,-2.2433720000000004,66.00303,2,1,0,0
L9201270,366,M7BKR366WAF0,2019-09-04 17:54:04,-2.2420970000000002,66.00556399999999,2,1,0,0
L9201270,366,M7BKR366WAF0,2019-09-04 17:54:04,-2.242056,66.00014200000001,2,1,0,0
L9201270,366,M7BKR366WAF0,2019-09-04 17:54:04,-2.241893,65.997571,2,1,0,0
L9201270,366,M7BKR366WAF0,2019-09-04 17:54:04,8.068696,121.107526,3,1,0,0
L9201270,366,M7BKR366WAF0,2019-09-04 17:54:04,8.068703000000001,-101.61856200000001,5,1,0,0
L9201270,366,M7BKR366WAF0,2019-09-04 17:54:04,8.06873,-123.429122,5,1,0,0
L9201270,366,M7BKR366WAF0,2019-09-04 17:54:04,8.068766,-101.626836,5,1,0,0
L9201270,366,M7BKR366WAF0,2019-09-04 17:54:04,8.068789,-123.437372,5,1,0,0
L9201270,366,M7BKR366WAF0,2019-09-04 17:54:04,14.09361,122.18725500000001,3,1,0,0
L9201270,366,M7BKR366WAF0,2019-09-04 17:54:04,14.096292,122.18239200000001,3,1,0,0
L9201270,366,M7BKR366WAF0,2019-09-04 17:54:04,14.109652,122.157758,3,1,0,0
L9201270,366,M7BKR366WAF0,2019-09-04 17:54:04,14.109893,122.163462,3,1,0,0
L9201270,366,M7BKR366WAF0,2019-09-04 17:54:04,14.111492,122.160636,3,1,0,0
L9201270,366,M7BKR366WAF0,2019-09-04 17:54:04,14.124956000000001,122.106318,3,1,0,0
L9201270,366,M7BKR366WAF0,2019-09-04 17:54:04,14.133875,122.11267,3,1,0,0
L9201270,366,M7BKR366WAF0,2019-09-04 17:54:04,48.142927,120.27431299999999,0,0,0,0
L9201270,366,M7BKR366WAF0,2019-09-04 17:54:04,50.143862,-124.813955,5,1,0,0
L9201270,366,M7BKR366WAF0,2019-09-04 17:54:04,50.77366000000001,69.303554,0,0,0,0
L9201270,366,M7BKR366WAF0,2019-09-04 17:54:04,50.773664,88.682375,0,0,0,0
L9201270,366,M7BKR366WAF0,2019-09-04 17:54:04,50.773687,69.29528900000001,0,0,0,0
L9201270,366,M7BKR366WAF0,2019-09-04 17:54:04,59.72491,65.81274,0,0,0,0
L9201270,366,M7BKR366WAF0,2019-09-04 17:54:04,69.85651299999999,-61.976763,0,0,0,0
L9201270,366,M7BKR366WAF0,2019-09-04 17:54:04,72.12607799999999,-48.28793,6,1,0,0
L9201270,366,M7BKR366WAF0,2019-09-04 17:54:04,72.126205,-57.981421000000005,6,1,0,0
L9201270,366,M7BKR366WAF0,2019-09-04 17:54:04,72.126212,-38.594328999999995,6,1,0,0
L9201270,366,M7BKR366WAF0,2019-09-04 17:54:04,72.126239,3.8393159999999997,6,1,0,0
L9201270,366,M7BKR366WAF0,2019-09-04 17:54:04,72.126243,3.8475659999999996,6,1,0,0
L9201270,366,M7BKR366WAF0,2019-09-04 17:54:04,124.861625,9.701349,0,0,0,0
